frame,time_sec,left_ratio,right_ratio,avg_ratio,blink_event
323,10.777,0.24504,0.28171,0.26338,0
324,10.811,0.24658,0.28177,0.26418,0
325,10.844,0.23878,0.27746,0.25812,0
326,10.878,0.24132,0.27667,0.259,0
327,10.911,0.24627,0.27924,0.26276,0
328,10.944,0.2386,0.27704,0.25782,0
329,10.978,0.23635,0.27522,0.25578,0
330,11.011,0.23252,0.26743,0.24998,0
331,11.044,0.23504,0.27039,0.25271,0
332,11.078,0.24347,0.26298,0.25323,0
333,11.111,0.23899,0.26748,0.25324,0
334,11.144,0.22535,0.27242,0.24889,0
335,11.178,0.2209,0.27836,0.24963,0
336,11.211,0.22873,0.27958,0.25416,0
337,11.245,0.22589,0.28611,0.256,0
338,11.278,0.22883,0.2774,0.25312,0
339,11.311,0.23839,0.27987,0.25913,0
340,11.345,0.23257,0.27622,0.25439,0
341,11.378,0.21843,0.27935,0.24889,0
342,11.411,0.21716,0.28104,0.2491,0
343,11.445,0.22982,0.27713,0.25347,0
344,11.478,0.23053,0.27962,0.25508,0
345,11.511,0.21785,0.28212,0.24998,0
346,11.545,0.22255,0.27763,0.25009,0
347,11.578,0.23279,0.28197,0.25738,0
348,11.612,0.2292,0.2863,0.25775,0
349,11.645,0.23526,0.28463,0.25994,0
350,11.678,0.23584,0.28321,0.25952,0
351,11.712,0.23469,0.28186,0.25828,0
352,11.745,0.23883,0.27807,0.25845,0
353,11.778,0.23551,0.27511,0.25531,0
354,11.812,0.23884,0.28277,0.2608,0
355,11.845,0.23762,0.27341,0.25552,0
356,11.879,0.23756,0.27821,0.25788,0
357,11.912,0.23735,0.27701,0.25718,0
358,11.945,0.22426,0.27789,0.25107,0
359,11.979,0.22328,0.27868,0.25098,0
360,12.012,0.22427,0.28647,0.25537,0
361,12.045,0.22731,0.27736,0.25233,0
362,12.079,0.23053,0.28032,0.25543,0
363,12.112,0.23097,0.28559,0.25828,0
364,12.145,0.22933,0.28262,0.25598,0
365,12.179,0.22327,0.28536,0.25432,0
366,12.212,0.22728,0.28269,0.25499,0
367,12.246,0.23052,0.28232,0.25642,0
368,12.279,0.22403,0.28044,0.25224,0
369,12.312,0.23178,0.28698,0.25938,0
370,12.346,0.23981,0.28144,0.26063,0
371,12.379,0.22922,0.2776,0.25341,0
372,12.412,0.23162,0.28072,0.25617,0
373,12.446,0.23073,0.28176,0.25625,0
374,12.479,0.23793,0.28883,0.26338,0
375,12.513,0.23525,0.28287,0.25906,0
376,12.546,0.23923,0.28616,0.26269,0
377,12.579,0.24154,0.2881,0.26482,0
378,12.613,0.23692,0.28459,0.26075,0
379,12.646,0.23321,0.2839,0.25856,0
380,12.679,0.2283,0.29026,0.25928,0
381,12.713,0.2273,0.27973,0.25351,0
